,CoC,Year,HUD,Predicted_Count,Predicted_Count_low,Predicted_Count_high,Predicted_Total,Predicted_Total_low,Predicted_Total_high
1,AK-500,2011,1223,1224.59696,1105,1349.05,1336.11088,1260,1443
2,AK-500,2012,1147,1148.86552,1036,1266.05,1254.38256,1183,1357
3,AK-500,2013,1122,1129.35632,1017,1247,1232.56,1158,1337
4,AK-500,2014,1023,1035.45532,931,1144.05,1128.97224,1059,1224
5,AK-500,2015,1208,1207.37888,1090,1331,1317.39536,1244,1424
6,AK-500,2016,1105,1108.19616,997,1224,1210.22636,1139,1314
7,AK-500,2017,1128,1128.40264,1018,1245,1230.88204,1162,1332
8,AK-501,2011,905,893.67412,809,978,983.31648,934,1051
9,AK-501,2012,766,766.41904,689,848,843.17824,794,915
10,AK-501,2013,824,824.786,742,913,906.8718,854,982
11,AK-501,2014,761,768.0366,689,854,844.9234,791,923
12,AK-501,2015,748,752.87124,676,834,828.0078,776,899
13,AK-501,2016,835,832.8846,750,915,916.17828,865,987
14,AK-501,2017,717,721.3606,648,796,793.39824,745,858
15,AL-500,2011,1950,1908.58844,1696,2134,2497.54644,2324,2702
16,AL-500,2012,1707,1686.97288,1501,1882,2206.58372,2057,2383
17,AL-500,2013,1469,1468.68948,1299,1653,1919.95068,1777,2100
18,AL-500,2014,1329,1342.40764,1187,1504,1755.88252,1619,1903
19,AL-500,2015,1153,1167.38684,1029,1321,1526.57328,1408,1683
20,AL-500,2016,1228,1228.3286,1088,1372,1605.81312,1486,1736
21,AL-500,2017,1092,1116.37492,986,1253,1459.52956,1347,1589.05
22,AL-501,2011,718,709.20272,628,795,896.58988,831.95,977
23,AL-501,2012,634,633.4112,561,708,800.75072,742,866
24,AL-501,2013,493,502.30492,442,567,634.87516,582,698
25,AL-501,2014,598,598.97048,529,674,757.04836,699,826
26,AL-501,2015,578,587.73652,518,661,742.8466,683,813
27,AL-501,2016,623,618.74992,548,692,781.71272,725,847
28,AL-501,2017,606,607.76448,536,683,768.31764,709,839
29,AL-502,2011,244,242.12368,218,265,259.3518,247,279
30,AL-502,2012,192,193.83436,173,216,207.61708,195,228
31,AL-502,2013,223,222.93636,200,246,238.76812,226,259
32,AL-502,2014,209,210.3596,188,235,225.40476,212,248
33,AL-502,2015,245,244.39412,220,269,261.88356,248,283
34,AL-502,2016,337,333.42448,302,365,357.04728,341,384
